KEGG_Foam_pathway	KEGG_Foam_pathway	Univocal number of KEGG codes	Total number of KEGG codes	Univocal number of genes	Total number of genes	Output type
M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	0	0	0	0	KEGG_MODULE
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	0	0	0	0	KEGG_MODULE
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0	0	0	0	KEGG_MODULE
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0	0	0	0	KEGG_MODULE
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0	0	0	0	KEGG_MODULE
M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0	0	0	0	KEGG_MODULE
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0	0	0	0	KEGG_MODULE
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	0	0	0	0	KEGG_MODULE
M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	0	0	0	KEGG_MODULE
M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A	0	0	0	0	KEGG_MODULE
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	0	0	0	0	KEGG_MODULE
M00063	CMP-KDO biosynthesis	0	0	0	0	KEGG_MODULE
M00064	ADP-L-glycero-D-manno-heptose biosynthesis	0	0	0	0	KEGG_MODULE
M00080	Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen	0	0	0	0	KEGG_MODULE
M00082	Fatty acid biosynthesis, initiation	0	0	0	0	KEGG_MODULE
M00083	Fatty acid biosynthesis, elongation	0	0	0	0	KEGG_MODULE
M00086	beta-Oxidation, acyl-CoA synthesis	0	0	0	0	KEGG_MODULE
M00087	beta-Oxidation	0	0	0	0	KEGG_MODULE
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	0	0	0	0	KEGG_MODULE
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	0	0	0	0	KEGG_MODULE
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	0	0	0	0	KEGG_MODULE
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	0	0	0	0	KEGG_MODULE
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	0	0	0	0	KEGG_MODULE
M00112	Tocopherol/tocotorienol biosynthesis	0	0	0	0	KEGG_MODULE
M00115	NAD biosynthesis, aspartate => NAD	0	0	0	0	KEGG_MODULE
M00116	Menaquinone biosynthesis, chorismate => menaquinone	0	0	0	0	KEGG_MODULE
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	0	0	0	0	KEGG_MODULE
M00118	Glutathione biosynthesis, glutamate => glutathione	0	0	0	0	KEGG_MODULE
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	0	0	0	0	KEGG_MODULE
M00120	Coenzyme A biosynthesis, pantothenate => CoA	0	0	0	0	KEGG_MODULE
M00121	Heme biosynthesis, glutamate => protoheme/siroheme	0	0	0	0	KEGG_MODULE
M00122	Cobalamin biosynthesis, cobinamide => cobalamin	0	0	0	0	KEGG_MODULE
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	0	0	0	0	KEGG_MODULE
M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	0	0	0	0	KEGG_MODULE
M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	0	0	0	0	KEGG_MODULE
M00126	Tetrahydrofolate biosynthesis, GTP => THF	0	0	0	0	KEGG_MODULE
M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	0	0	0	0	KEGG_MODULE
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	0	0	0	0	KEGG_MODULE
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	0	0	0	0	KEGG_MODULE
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	0	0	0	0	KEGG_MODULE
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	0	0	0	0	KEGG_MODULE
M00140	C1-unit interconversion, prokaryotes	0	0	0	0	KEGG_MODULE
M00141	C1-unit interconversion, eukaryotes	0	0	0	0	KEGG_MODULE
M00144	NADH:quinone oxidoreductase, prokaryotes	0	0	0	0	KEGG_MODULE
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	0	0	0	0	KEGG_MODULE
M00149	Succinate dehydrogenase, prokaryotes	0	0	0	0	KEGG_MODULE
M00150	Fumarate reductase, prokaryotes	0	0	0	0	KEGG_MODULE
M00151	Cytochrome bc1 complex respiratory unit	0	0	0	0	KEGG_MODULE
M00153	Cytochrome d ubiquinol oxidase	0	0	0	0	KEGG_MODULE
M00155	Cytochrome c oxidase, prokaryotes	0	0	0	0	KEGG_MODULE
M00156	Cytochrome c oxidase, cbb3-type	0	0	0	0	KEGG_MODULE
M00157	F-type ATPase, prokaryotes and chloroplasts	0	0	0	0	KEGG_MODULE
M00159	V/A-type ATPase, prokaryotes	0	0	0	0	KEGG_MODULE
M00161	Photosystem II	0	0	0	0	KEGG_MODULE
M00162	Cytochrome b6f complex	0	0	0	0	KEGG_MODULE
M00163	Photosystem I	0	0	0	0	KEGG_MODULE
M00165	Reductive pentose phosphate cycle (Calvin cycle)	0	0	0	0	KEGG_MODULE
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	0	0	0	0	KEGG_MODULE
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	0	0	0	0	KEGG_MODULE
M00168	CAM (Crassulacean acid metabolism), dark	0	0	0	0	KEGG_MODULE
M00169	CAM (Crassulacean acid metabolism), light	0	0	0	0	KEGG_MODULE
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	0	0	0	0	KEGG_MODULE
M00174	Methane oxidation, methanotroph, methane => formaldehyde	0	0	0	0	KEGG_MODULE
M00175	Nitrogen fixation, nitrogen => ammonia	0	0	0	0	KEGG_MODULE
M00176	Assimilatory sulfate reduction, sulfate => H2S	0	0	0	0	KEGG_MODULE
M00178	Ribosome, bacteria	0	0	0	0	KEGG_MODULE
M00179	Ribosome, archaea	0	0	0	0	KEGG_MODULE
M00183	RNA polymerase, bacteria	0	0	0	0	KEGG_MODULE
M00184	RNA polymerase, archaea	0	0	0	0	KEGG_MODULE
M00185	Sulfate transport system	0	0	0	0	KEGG_MODULE
M00186	Tungstate transport system	0	0	0	0	KEGG_MODULE
M00188	NitT/TauT family transport system	0	0	0	0	KEGG_MODULE
M00189	Molybdate transport system	0	0	0	0	KEGG_MODULE
M00190	Iron(III) transport system	0	0	0	0	KEGG_MODULE
M00191	Thiamine transport system	0	0	0	0	KEGG_MODULE
M00192	Putative thiamine transport system	0	0	0	0	KEGG_MODULE
M00193	Putative spermidine/putrescine transport system	0	0	0	0	KEGG_MODULE
M00194	Maltose/maltodextrin transport system	0	0	0	0	KEGG_MODULE
M00196	Raffinose/stachyose/melibiose transport system	0	0	0	0	KEGG_MODULE
M00197	Putative fructooligosaccharide transport system	0	0	0	0	KEGG_MODULE
M00198	Putative sn-glycerol-phosphate transport system	0	0	0	0	KEGG_MODULE
M00199	L-Arabinose/lactose transport system	0	0	0	0	KEGG_MODULE
M00200	Putative sorbitol/mannitol transport system	0	0	0	0	KEGG_MODULE
M00201	alpha-Glucoside transport system	0	0	0	0	KEGG_MODULE
M00202	Oligogalacturonide transport system	0	0	0	0	KEGG_MODULE
M00203	Glucose/arabinose transport system	0	0	0	0	KEGG_MODULE
M00204	Trehalose/maltose transport system	0	0	0	0	KEGG_MODULE
M00205	N-Acetylglucosamine transport system	0	0	0	0	KEGG_MODULE
M00206	Cellobiose transport system	0	0	0	0	KEGG_MODULE
M00207	Putative multiple sugar transport system	4	10	10	10	KEGG_MODULE
M00208	Glycine betaine/proline transport system	0	0	0	0	KEGG_MODULE
M00209	Osmoprotectant transport system	1	2	2	2	KEGG_MODULE
M00210	Phospholipid transport system	0	0	0	0	KEGG_MODULE
M00211	Putative ABC transport system	0	0	0	0	KEGG_MODULE
M00212	Ribose transport system	3	6	6	6	KEGG_MODULE
M00213	L-Arabinose transport system	1	1	1	1	KEGG_MODULE
M00214	Methyl-galactoside transport system	1	1	1	1	KEGG_MODULE
M00215	D-Xylose transport system	1	1	1	1	KEGG_MODULE
M00216	Multiple sugar transport system	0	0	0	0	KEGG_MODULE
M00217	D-Allose transport system	0	0	0	0	KEGG_MODULE
M00218	Fructose transport system	0	0	0	0	KEGG_MODULE
M00219	AI-2 transport system	0	0	0	0	KEGG_MODULE
M00220	Rhamnose transport system	1	1	1	1	KEGG_MODULE
M00221	Putative simple sugar transport system	3	22	22	22	KEGG_MODULE
M00222	Phosphate transport system	4	6	5	6	KEGG_MODULE
M00223	Phosphonate transport system	2	4	4	4	KEGG_MODULE
M00224	Fluoroquinolone transport system	0	0	0	0	KEGG_MODULE
M00225	Lysine/arginine/ornithine transport system	0	0	0	0	KEGG_MODULE
M00226	Histidine transport system	0	0	0	0	KEGG_MODULE
M00227	Glutamine transport system	0	0	0	0	KEGG_MODULE
M00228	Putative glutamine transport system	1	1	1	1	KEGG_MODULE
M00229	Arginine transport system	0	0	0	0	KEGG_MODULE
M00230	Glutamate/aspartate transport system	0	0	0	0	KEGG_MODULE
M00231	Octopine/nopaline transport system	0	0	0	0	KEGG_MODULE
M00232	General L-amino acid transport system	2	2	2	2	KEGG_MODULE
M00233	Glutamate transport system	0	0	0	0	KEGG_MODULE
M00234	Cystine transport system	0	0	0	0	KEGG_MODULE
M00235	Arginine/ornithine transport system	0	0	0	0	KEGG_MODULE
M00236	Putative polar amino acid transport system	3	7	6	7	KEGG_MODULE
M00237	Branched-chain amino acid transport system	5	18	18	18	KEGG_MODULE
M00238	D-Methionine transport system	1	2	2	2	KEGG_MODULE
M00239	Peptides/nickel transport system	5	32	28	32	KEGG_MODULE
M00240	Iron complex transport system	2	5	5	5	KEGG_MODULE
M00241	Vitamin B12 transport system	0	0	0	0	KEGG_MODULE
M00242	Zinc transport system	2	2	2	2	KEGG_MODULE
M00243	Manganese/iron transport system	0	0	0	0	KEGG_MODULE
M00244	Putative zinc/manganese transport system	1	1	1	1	KEGG_MODULE
M00245	Cobalt/nickel transport system	3	16	16	16	KEGG_MODULE
M00246	Nickel transport system	3	16	16	16	KEGG_MODULE
M00247	Putative ABC transport system	0	0	0	0	KEGG_MODULE
M00249	Capsular polysaccharide transport system	0	0	0	0	KEGG_MODULE
M00250	Lipopolysaccharide transport system	2	3	3	3	KEGG_MODULE
M00251	Teichoic acid transport system	1	1	1	1	KEGG_MODULE
M00252	Lipooligosaccharide transport system	0	0	0	0	KEGG_MODULE
M00253	Sodium transport system	0	0	0	0	KEGG_MODULE
M00254	ABC-2 type transport system	2	12	11	12	KEGG_MODULE
M00255	Lipoprotein-releasing system	0	0	0	0	KEGG_MODULE
M00256	Cell division transport system	0	0	0	0	KEGG_MODULE
M00257	Hemin transport system	0	0	0	0	KEGG_MODULE
M00258	Putative ABC transport system	2	13	13	13	KEGG_MODULE
M00259	Heme transport system	0	0	0	0	KEGG_MODULE
M00260	DNA polymerase III complex, bacteria	6	17	11	17	KEGG_MODULE
M00264	DNA polymerase II complex, archaea	1	2	2	2	KEGG_MODULE
M00265	PTS system, glucose-specific II component	0	0	0	0	KEGG_MODULE
M00266	PTS system, maltose/glucose-specific II component	0	0	0	0	KEGG_MODULE
M00267	PTS system, N-acetylglucosamine-specific II component	0	0	0	0	KEGG_MODULE
M00268	PTS system, alpha-glucoside-specific II component	0	0	0	0	KEGG_MODULE
M00269	PTS system, sucrose-specific II component	0	0	0	0	KEGG_MODULE
M00270	PTS system, trehalose-specific II component	0	0	0	0	KEGG_MODULE
M00271	PTS system, beta-glucoside-specific II component	0	0	0	0	KEGG_MODULE
M00272	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component	0	0	0	0	KEGG_MODULE
M00273	PTS system, fructose-specific II component	0	0	0	0	KEGG_MODULE
M00274	PTS system, mannitol-specific II component	0	0	0	0	KEGG_MODULE
M00275	PTS system, cellobiose-specific II component	0	0	0	0	KEGG_MODULE
M00276	PTS system, mannose-specific II component	0	0	0	0	KEGG_MODULE
M00277	PTS system, N-acetylgalactosamine-specific II component	0	0	0	0	KEGG_MODULE
M00278	PTS system, sorbose-specific II component	0	0	0	0	KEGG_MODULE
M00279	PTS system, galactitol-specific II component	2	2	2	2	KEGG_MODULE
M00280	PTS system, glucitol/sorbitol-specific II component	0	0	0	0	KEGG_MODULE
M00281	PTS system, lactose-specific II component	0	0	0	0	KEGG_MODULE
M00282	PTS system, D-glucosamine-specific II component	0	0	0	0	KEGG_MODULE
M00283	PTS system, ascorbate-specific II component	0	0	0	0	KEGG_MODULE
M00287	PTS system, galactosamine-specific II component	0	0	0	0	KEGG_MODULE
M00298	Multidrug/hemolysin transport system	0	0	0	0	KEGG_MODULE
M00299	Spermidine/putrescine transport system	2	2	2	2	KEGG_MODULE
M00300	Putrescine transport system	0	0	0	0	KEGG_MODULE
M00301	Mannopine transport system	0	0	0	0	KEGG_MODULE
M00302	2-Aminoethylphosphonate transport system	0	0	0	0	KEGG_MODULE
M00303	PTS system, N-acetylmuramic acid-specific II component	0	0	0	0	KEGG_MODULE
M00304	PTS system, fructose-specific II component	0	0	0	0	KEGG_MODULE
M00305	PTS system, 2-O-A-mannosyl-D-glycerate-specific II component	0	0	0	0	KEGG_MODULE
M00306	PTS system, fructose-specific II-like component	0	0	0	0	KEGG_MODULE
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	4	13	12	13	KEGG_MODULE
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	3	4	4	4	KEGG_MODULE
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	0	0	0	0	KEGG_MODULE
M00314	Bacitracin transport system	0	0	0	0	KEGG_MODULE
M00315	Uncharacterized ABC transport system	0	0	0	0	KEGG_MODULE
M00316	Manganese transport system	0	0	0	0	KEGG_MODULE
M00317	Manganese/iron transport system	0	0	0	0	KEGG_MODULE
M00318	Iron/zinc/manganese/copper transport system	0	0	0	0	KEGG_MODULE
M00319	Manganese/zinc/iron transport system	0	0	0	0	KEGG_MODULE
M00320	Lipopolysaccharide export system	0	0	0	0	KEGG_MODULE
M00321	Bicarbonate transport system	0	0	0	0	KEGG_MODULE
M00322	Neutral amino acid transport system	0	0	0	0	KEGG_MODULE
M00323	Urea transport system	0	0	0	0	KEGG_MODULE
M00324	Dipeptide transport system	0	0	0	0	KEGG_MODULE
M00325	alpha-Hemolysin/cyclolysin transport system	0	0	0	0	KEGG_MODULE
M00326	RTX toxin transport system	0	0	0	0	KEGG_MODULE
M00327	S-Layer protein transport system	0	0	0	0	KEGG_MODULE
M00328	Hemophore/metalloprotease transport system	0	0	0	0	KEGG_MODULE
M00329	Multiple protein transport system	0	0	0	0	KEGG_MODULE
M00330	Adhesin protein transport system	0	0	0	0	KEGG_MODULE
M00331	Type II general secretion pathway	0	0	0	0	KEGG_MODULE
M00332	Type III secretion system	0	0	0	0	KEGG_MODULE
M00333	Type IV secretion system	0	0	0	0	KEGG_MODULE
M00334	Type VI secretion system	0	0	0	0	KEGG_MODULE
M00335	Sec (secretion) system	0	0	0	0	KEGG_MODULE
M00336	Twin-arginine translocation (Tat) system	0	0	0	0	KEGG_MODULE
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	1	4	4	4	KEGG_MODULE
M00339	RaxAB-RaxC type I secretion system	0	0	0	0	KEGG_MODULE
M00342	Bacterial proteasome	0	0	0	0	KEGG_MODULE
M00343	Archaeal proteasome	0	0	0	0	KEGG_MODULE
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	6	8	4	8	KEGG_MODULE
M00346	Formaldehyde assimilation, serine pathway	4	5	5	5	KEGG_MODULE
M00348	Glutathione transport system	0	0	0	0	KEGG_MODULE
M00349	Microcin C transport system	0	0	0	0	KEGG_MODULE
M00356	Methanogenesis, methanol => methane	2	6	6	6	KEGG_MODULE
M00357	Methanogenesis, acetate => methane	5	9	8	9	KEGG_MODULE
M00358	Coenzyme M biosynthesis	0	0	0	0	KEGG_MODULE
M00359	Aminoacyl-tRNA biosynthesis, eukaryotes	0	0	0	0	KEGG_MODULE
M00360	Aminoacyl-tRNA biosynthesis, prokaryotes	0	0	0	0	KEGG_MODULE
M00361	Nucleotide sugar biosynthesis, eukaryotes	6	22	22	22	KEGG_MODULE
M00362	Nucleotide sugar biosynthesis, prokaryotes	7	25	23	25	KEGG_MODULE
M00363	EHEC pathogenicity signature, Shiga toxin	0	0	0	0	KEGG_MODULE
M00364	C10-C20 isoprenoid biosynthesis, bacteria	0	0	0	0	KEGG_MODULE
M00365	C10-C20 isoprenoid biosynthesis, archaea	0	0	0	0	KEGG_MODULE
M00373	Ethylmalonyl pathway	5	9	6	9	KEGG_MODULE
M00374	Dicarboxylate-hydroxybutyrate cycle	10	19	19	19	KEGG_MODULE
M00375	Hydroxypropionate-hydroxybutylate cycle	3	7	4	7	KEGG_MODULE
M00376	3-Hydroxypropionate bi-cycle	6	19	13	19	KEGG_MODULE
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	3	5	3	5	KEGG_MODULE
M00378	F420 biosynthesis	1	1	1	1	KEGG_MODULE
M00390	Exosome, archaea	0	0	0	0	KEGG_MODULE
M00394	RNA degradosome	2	5	5	5	KEGG_MODULE
M00416	Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	KEGG_MODULE
M00417	Cytochrome o ubiquinol oxidase	0	0	0	0	KEGG_MODULE
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	1	1	1	1	KEGG_MODULE
M00419	Cymene degradation, p-cymene => p-cumate	0	0	0	0	KEGG_MODULE
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	0	0	0	0	KEGG_MODULE
M00423	Molybdate/tungstate transport system	0	0	0	0	KEGG_MODULE
M00429	Competence-related DNA transformation transporter	0	0	0	0	KEGG_MODULE
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4	8	4	8	KEGG_MODULE
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	0	0	0	0	KEGG_MODULE
M00434	PhoR-PhoB (phosphate starvation response) two-component regulatory system	1	26	26	26	KEGG_MODULE
M00435	Taurine transport system	0	0	0	0	KEGG_MODULE
M00436	Sulfonate transport system	0	0	0	0	KEGG_MODULE
M00437	Phthalate transport system	0	0	0	0	KEGG_MODULE
M00438	Nitrate/nitrite transport system	0	0	0	0	KEGG_MODULE
M00439	Oligopeptide transport system	0	0	0	0	KEGG_MODULE
M00440	Nickel transport system	0	0	0	0	KEGG_MODULE
M00442	Putative hydroxymethylpyrimidine transport system	0	0	0	0	KEGG_MODULE
M00443	SenX3-RegX3 (phosphate starvation response) two-component regulatory system	1	1	1	1	KEGG_MODULE
M00444	PhoQ-PhoP (magnesium transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00445	EnvZ-OmpR (osmotic stress response) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00446	RstB-RstA two-component regulatory system	0	0	0	0	KEGG_MODULE
M00447	CpxA-CpxR (envelope stress response) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00448	CssS-CssR (secretion stress response) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00449	CreC-CreB (phosphate regulation) two-component regulatory system	1	7	7	7	KEGG_MODULE
M00450	BaeS-BaeR (envelope stress response) two-component regulatory system	1	8	8	8	KEGG_MODULE
M00451	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00452	CusS-CusR (copper tolerance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00453	QseC-QseB (quorum sensing) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00454	KdpD-KdpE (potassium transport) two-component regulatory system	1	12	12	12	KEGG_MODULE
M00455	TorS-TorR (TMAO respiration) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00456	ArcB-ArcA (anoxic redox control) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00457	TctE-TctD (tricarboxylic acid transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00458	ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00459	VicK-VicR (cell wall metabolism) two-component regulatory system	1	7	7	7	KEGG_MODULE
M00460	MprB-MprA (maintenance of persistent infection) two-component regulatory system	1	6	6	6	KEGG_MODULE
M00461	MtrB-MtrA (osmotic stress response) two-component regulatory system	1	6	6	6	KEGG_MODULE
M00462	PrrB-PrrA (intracellular multiplication) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00463	TrcS-TrcR two-component regulatory system	0	0	0	0	KEGG_MODULE
M00464	NrsS-NrsR (nickel tolerance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00465	ManS-ManR (manganese homeostasis) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00466	NblS-NblR (photosynthesis) two-component regulatory system	1	5	5	5	KEGG_MODULE
M00467	SasA-RpaAB (circadian timing mediating) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00468	SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00469	BceS-BceR (bacitracin transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00471	NarX-NarL (nitrate respiration) two-component regulatory system	1	6	6	6	KEGG_MODULE
M00472	NarQ-NarP (nitrate respiration) two-component regulatory system	1	4	4	4	KEGG_MODULE
M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system	1	32	32	32	KEGG_MODULE
M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system	1	3	3	3	KEGG_MODULE
M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	1	1	1	1	KEGG_MODULE
M00476	ComP-ComA (competence) two-component regulatory system	1	2	2	2	KEGG_MODULE
M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system	1	2	2	2	KEGG_MODULE
M00478	DegS-DegU (multicellular behavior control) two-component regulatory system	1	3	3	3	KEGG_MODULE
M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system	1	3	3	3	KEGG_MODULE
M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00481	LiaS-LiaR (cell wall stress response) two-component regulatory system	1	1	1	1	KEGG_MODULE
M00482	DevS-DevR (redox response) two-component regulatory system	1	3	3	3	KEGG_MODULE
M00483	NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system	1	4	4	4	KEGG_MODULE
M00484	YdfH-YdfI two-component regulatory system	0	0	0	0	KEGG_MODULE
M00485	KinABCDE-Spo0FA (sporulation control) two-component regulatory system	2	2	1	2	KEGG_MODULE
M00486	CitA-CitB (citrate fermentation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00487	CitS-CitT (magnesium-citrate transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00488	DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00489	DctS-DctR (C4-dicarboxylate transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00490	MalK-MalR (malate transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00491	arabinogalactan oligomer/maltooligosaccharide transport system	1	1	1	1	KEGG_MODULE
M00492	LytS-LytR two-component regulatory system	1	1	1	1	KEGG_MODULE
M00493	AlgZ-AlgR (alginate production) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00494	NatK-NatR (sodium extrusion) two-component regulatory system	1	2	2	2	KEGG_MODULE
M00495	AgrC-AgrA (exoprotein synthesis) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00496	ComD-ComE (competence) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00497	GlnL-GlnG (nitrogen regulation) two-component regulatory system	1	1	1	1	KEGG_MODULE
M00498	NtrY-NtrX (nitrogen regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00499	HydH-HydG (metal tolerance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00500	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system	0	0	0	0	KEGG_MODULE
